team_name,_85_pt,_70_pt,days_until_release,current_period_forecast
Connect Partner API,1,2,3,0
Integrations Platform,4,5,5,1
Mobile,6,8,5,1
Customer Management,7,8,5,1
Order Create,8,11,5,2
Integrations Enabling,8,9,5,2
Products & Pricing,9,11,5,2
Integrations API,10,13,5,2
Personalization,12,15,5,3
Order Submit & Ingest,13,16,5,3
Order Management,14,18,5,3
Experience Enhancements,36,44,5,8
Platform Engineering,48,54,5,14
